"filename", "language", "Dart", "comment", "blank", "total"
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/colors.dart", "Dart", 16, 0, 2, 18
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/example_data.dart", "Dart", 154, 0, 16, 170
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/helper/helper.dart", "Dart", 15, 0, 2, 17
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/home_screen.dart", "Dart", 83, 0, 11, 94
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/main.dart", "Dart", 9, 0, 2, 11
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/category_section.dart", "Dart", 151, 0, 5, 156
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/custom_shape.dart", "Dart", 16, 0, 3, 19
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/discount_card.dart", "Dart", 54, 0, 4, 58
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/f_appbar.dart", "Dart", 126, 0, 10, 136
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/f_icon_button.dart", "Dart", 36, 0, 5, 41
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/header_clip.dart", "Dart", 99, 0, 4, 103
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/panda_head.dart", "Dart", 22, 0, 4, 26
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/promo_text.dart", "Dart", 30, 0, 3, 33
"/Users/theachoem/Coding/Apps/food_panda_sticky_header/lib/widgets/widgets.dart", "Dart", 8, 0, 1, 9
"Total", "-", 819, 0, 72, 891